Team,AST,TRB,PTS_Permitidos,Win %
Atlanta Hawks,30.1,43.5,116.0,56.1
Utah Jazz,29.6,43.8,126.0,26.8
Toronto Raptors,29.5,42.1,111.8,56.1
Denver Nuggets,29.0,44.0,116.9,65.9
Miami Heat,29.0,46.3,118.5,52.4
Golden State Warriors,28.9,42.3,115.2,45.1
Chicago Bulls,28.5,45.0,121.5,37.8
Cleveland Cavaliers,28.3,44.4,115.4,63.4
San Antonio Spurs,28.1,47.0,111.5,75.6
Detroit Pistons,27.8,45.6,109.6,73.2
Memphis Grizzlies,27.8,42.1,120.7,30.5
Indiana Pacers,27.7,41.9,120.4,23.2
New York Knicks,27.4,45.6,110.1,64.6
Orlando Magic,26.5,43.4,115.1,54.9
Charlotte Hornets,26.3,46.1,111.2,53.7
Minnesota Timberwolves,26.1,44.1,114.6,59.8
Los Angeles Lakers,25.9,41.0,114.6,64.6
Oklahoma City Thunder,25.8,44.1,107.9,78.0
Milwaukee Bucks,25.8,40.7,116.8,39.0
Sacramento Kings,25.5,42.3,121.0,26.8
Houston Rockets,25.4,48.1,110.0,63.4
Dallas Mavericks,25.3,44.7,119.6,31.7
New Orleans Pelicans,25.1,43.9,120.0,31.7
Portland Trail Blazers,25.1,46.0,115.8,51.2
Washington Wizards,25.0,41.9,124.9,20.7
Brooklyn Nets,25.0,39.3,115.9,24.4
Philadelphia 76ers,24.6,43.6,116.1,54.9
Boston Celtics,24.6,46.4,107.2,68.3
Phoenix Suns,24.6,43.1,111.1,54.9
Los Angeles Clippers,23.7,40.6,112.6,51.2
League Average,26.7,43.8,115.6,
