Player,PTS,AST,TRB,TS%,PTS_36,AST_36,TRB_36
Luka Dončić,33.5,8.3,7.7,61.6,33.7,8.3,7.8
Shai Gilgeous-Alexander,31.1,6.6,4.3,66.5,33.7,7.1,4.7
Anthony Edwards,28.8,3.7,5.0,61.7,29.6,3.8,5.1
Jaylen Brown,28.7,5.1,6.9,57.3,30.0,5.4,7.3
Tyrese Maxey,28.3,6.6,4.1,58.8,26.8,6.2,3.9
Kawhi Leonard,27.9,3.6,6.4,62.9,31.3,4.0,7.1
Donovan Mitchell,27.9,5.7,4.5,61.3,30.0,6.1,4.9
Nikola Jokić,27.7,10.7,12.9,67.0,28.6,11.1,13.3
Giannis Antetokounmpo,27.6,5.4,9.8,65.8,34.4,6.8,12.2
Joel Embiid,26.9,3.9,7.7,60.5,30.6,4.5,8.8
Lauri Markkanen,26.7,2.1,6.9,60.8,28.0,2.2,7.2
Stephen Curry,26.6,4.7,3.6,63.7,30.9,5.5,4.2
Devin Booker,26.1,6.0,3.9,58.5,28.0,6.5,4.2
Jalen Brunson,26.0,6.8,3.3,58.0,26.8,7.0,3.4
Kevin Durant,26.0,4.8,5.5,64.1,25.7,4.7,5.4
Jamal Murray,25.4,7.1,4.4,62.2,25.9,7.3,4.5
Victor Wembanyama,25.0,3.1,11.5,62.6,30.9,3.8,14.2
Deni Avdija,24.2,6.7,6.9,60.0,26.2,7.2,7.4
Michael Porter Jr.,24.2,3.0,7.1,59.5,26.8,3.4,7.8
Pascal Siakam,24.0,3.8,6.6,56.2,26.0,4.1,7.2
Cade Cunningham,23.9,9.9,5.5,56.4,25.4,10.5,5.9
James Harden,23.6,8.0,4.8,61.0,24.4,8.2,5.0
Keyonte George,23.6,6.1,3.7,60.9,25.7,6.7,4.0
Austin Reaves,23.3,5.5,4.7,64.1,24.3,5.7,4.9
Jalen Johnson,22.5,7.9,10.3,58.1,23.0,8.0,10.5
Paolo Banchero,22.2,5.2,8.4,56.6,23.0,5.4,8.7
Jayson Tatum,21.8,5.3,10.0,54.1,24.0,5.9,11.0
Norman Powell,21.7,2.5,3.5,60.9,26.4,3.0,4.3
Brandon Ingram,21.5,3.7,5.6,57.3,22.9,3.9,5.9
Trey Murphy III,21.5,3.8,5.7,61.3,21.8,3.8,5.8
Julius Randle,21.1,5.0,6.7,58.5,23.0,5.5,7.3
Cooper Flagg,21.0,4.5,6.7,54.8,22.6,4.9,7.2
Zion Williamson,21.0,3.2,5.7,64.4,25.5,3.9,6.9
LeBron James,20.9,7.2,6.1,59.4,22.7,7.8,6.6
